ID,NUM,Drug_num,score,rank,SMILES(Standardized),Name,CAS,Formula,MolWt
T4114,836,AUTOGEN_Drug_836,0.00167664,1,COc1cc(C)c(c(c1C)OC)C(=O)Oc1cc(C)c(c(c1C)O)C(=O)O,Diffractaic Acid,436-32-8,C20H22O7,374.38
T6S1049,837,AUTOGEN_Drug_837,0.000894385,1,CC(=O)OC[C@@]12[C@@H](OC(=O)C)[C@@H](OC(=O)c3ccccc3)[C@H]3[C@]([C@@]42O[C@@]([C@H]([C@H]([C@H]1OC(=O)C)OC(=O)C)[C@H]4OC(=O)C)(C)COC(=O)c1cccnc1CC[C@@H](C(=O)O3)C)(C)O,Wilforine,11088-09-8,C43H49NO18,867.85
T4S2012,838,AUTOGEN_Drug_838,0.00121562,2,CN1Cc2c3OCOc3ccc2c2c1c1cc3OCOc3cc1cc2,Dihydro Sanguinarine,3606-45-9,C20H15NO4,333.34
TN2088,839,AUTOGEN_Drug_839,0.000758425,6,OC[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@]3([C@H](C2(CO)CO)CC[C@@]2([C@@H]3CC=C3[C@@]2(C)C[C@H]([C@@]2([C@H]3CC(C)(C)CC2)C(=O)O[C@@H]2OC[C@@H]([C@@H]([C@H]2O[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O[C@@H]2OC[C@H]([C@@H]([C@H]2O)O[C@@H]2OC[C@]([C@H]2O)(O)CO)O)O)O)O)C)C)[C@@H]([C@H]([C@@H]1O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O,Platycodin D2,66663-90-9,C63H102O33,1387.46
T15277,840,AUTOGEN_Drug_840,0.00112669,3,Cn1c2nncnc2c(=O)n(c1=O)C,Fervenulin,483-57-8,C7H7N5O2,193.16
T4921,841,AUTOGEN_Drug_841,0.00097213,6,OC(=O)CCCC(=O)C(=O)O,Oxoadipic acid,3184-35-8,C6H8O5,160.12
TN1580,842,AUTOGEN_Drug_842,0.00251179,2,Oc1ccc(cc1)C1COc2c(C1=O)ccc(c2)O,Dihydrodaidzein,17238-05-0,C15H12O4,256.26
T5743,843,AUTOGEN_Drug_843,0.00126073,3,OC[C@]12[C@@H](O)C[C@@]3(C(=CC[C@H]4[C@@]3(C)CC[C@@H]3[C@]4(C)CC[C@@H]([C@@]3(C)CO)O)[C@@H]2CC([C@H]([C@@H]1O)O)(C)C)C,Gymnemagenin,22467-07-8,C30H50O6??,506.7
T5826|T6S2238,844,AUTOGEN_Drug_844,0.000694096,5,OC/C=C(/C(=O)O[C@@H]1C/C(=C/C[C@@H](/C(=C/[C@@H]2[C@@H]1C(=C)C(=O)O2)/C)OC(=O)C)/COC(=O)C)\C,Eupalinolide A,877822-40-7,C24H30O9,462.49
TN1546,845,AUTOGEN_Drug_845,0.000717463,4,OC[C@H]1O[C@@H](O[C@@](C(=O)OCc2ccc(cc2)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)(CC(=O)OCc2ccc(cc2)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)CC(C)C)[C@@H]([C@H]([C@@H]1O)O)O,Dactylorhin A,256459-34-4,C40H56O22,888.9
TL0001,846,AUTOGEN_Drug_846,0.000665391,14,N[C@H](C(=O)O)CNC(=O)C(=O)O,dencichine,5302-45-4,C5H8N2O5,176.13
T6S0654,847,AUTOGEN_Drug_847,0.000804639,1,CO/C=C(\[C@H]1C[C@@H]2N(C[C@@H]1C=C)CC[C@]12C(=O)Nc2c1cccc2)/C(=O)OC,Isocorynoxeine,51014-29-0,C22H26N2O4,382.46
T5764,848,AUTOGEN_Drug_848,0.001233,1,N[C@H](C(=O)O)CS(=O)CC=C,Alliin,556-27-4,C6H11NO3S,177.22
T3785,849,AUTOGEN_Drug_849,0.000701775,3,OC[C@H]1O[C@@H](O[C@H]2[C@@H](O[C@@H]([C@H]([C@@H]2O)O)CO[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)O[C@@H](C(O)(C)C)CC[C@H]([C@H]2CC[C@@]3([C@]2(C)CC(=O)[C@@]2([C@@H]3CC=C3[C@H]2CC[C@@H](C3(C)C)O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)[C@H]([C@@H]([C@H]2O)O)O)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O,11-oxo Mogroside V,126105-11-1,C60H100O29,1285.4
T19768,850,AUTOGEN_Drug_850,0.00167606,2,C/C(=C\CC[C@]1(C)CCc2c(O1)c(C)c(c(c2)O)C)/CC/C=C(/CCC=C(C)C)\C,gamma-Tocotrienol,14101-61-2,C28H42O2,410.64
T4S0111,851,AUTOGEN_Drug_851,0.00144652,2,O[C@H]1CC[C@]2([C@H](C1)[C@H](O)C[C@@H]1[C@@H]2C[C@@H]2[C@H]1CC[C@@H]1[C@H]2CN2C[C@@H](C)CC[C@H]2[C@@H]1C)C,Hupehenine,98243-57-3,C27H45NO2,415.66
TQ0205,852,AUTOGEN_Drug_852,0.00287228,1,Oc1cc(O)c2c(c1)O[C@@H]([C@@H]([C@H]2c1c(O)cc(c2c1O[C@@H]([C@H](C2)O)c1ccc(c(c1)O)O)O)O)c1ccc(c(c1)O)O,Procyanidin B1,20315-25-7,C30H24O12,578.52
T5797,853,AUTOGEN_Drug_853,0.000616042,10,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC(=O)[C@]34CC[C@@]5(C(=CC[C@H]6[C@@]5(C)CC[C@@H]5[C@]6(C)CC[C@H](C5(C)C)O[C@@H]5OC[C@@H]([C@@H]([C@H]5O[C@@H]5O[C@@H](C)[C@@H]([C@H]([C@H]5O)O)O)O)O[C@@H]5O[C@H](CO)[C@H]([C@@H]([C@H]5O)O)O)[C@@H]4CC(CC3)(C)C)C)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O,Raddeanoside R8,124961-61-1,C65H106O30,1367.54
T5S1467,854,AUTOGEN_Drug_854,0.000630975,5,CC(=O)OC(/C=C/C(=O)[C@@]([C@H]1[C@H](O)C[C@@]2([C@]1(C)CC(=O)[C@@]1([C@H]2CC=C2[C@H]1C=C(O)C(=O)C2(C)C)C)C)(O)C)(C)C,Cucurbitacin E,18444-66-1,C32H44O8,556.67
T4S1869,855,AUTOGEN_Drug_855,0.00138779,1,CCN1C[C@]2(C)CC[C@@H]([C@]34C1C(C[C@H]23)[C@]12[C@H]4C[C@H]([C@H](C1)C(=C)[C@H]2O)O)O,12-Epinapelline,110064-71-6,C22H33NO3,359.51
T5687,856,AUTOGEN_Drug_856,0.000714564,1,OCC1=C(C)C[C@@H](OC1=O)[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2C[C@@H]2[C@]3([C@]1(C)C(=O)C=C[C@@H]3O)O2)C,WITHAFERIN A,5119-48-2,C28H38O6,470.6
T7600,857,AUTOGEN_Drug_857,0.00064388,8,C/C(=C\C=C\C=C(\C=C\C=C(\C(=O)C[C@]12O[C@]2(C)C[C@H](CC1(C)C)O)/C)/C)/C=C/C=C(/C=C=C1C(C)(C)C[C@@H](C[C@@]1(C)O)OC(=O)C)\C,Fucoxanthin,3351-86-8,C42H57O6,658.91
TN7086,858,AUTOGEN_Drug_858,0.00151621,1,CCC(=O)c1cc(OC)c(c(c1)OC)O,Propiosyringone,5650-43-1,C11H14O4,210.23
T32291,859,AUTOGEN_Drug_859,0.00259305,1,Oc1cnc2c(c1)cccc2O,Jineol,178762-28-2,C9H7NO2,161.16
TN7056,860,AUTOGEN_Drug_860,0.00121535,2,COc1cc(C=Cc2ccc(c(c2)OC)OC)oc(=O)c1,11-Methoxyyangonin,2743-14-8,C16H16O5,288.3
T19720,861,AUTOGEN_Drug_861,0.00105703,4,CN[C@H]1CCc2c(c3c1cc(=O)c(cc3)OC)c(OC)c(c(c2)OC)OC,Demecolcine,477-30-5,C21H25NO5,371.43
T4S1469,862,AUTOGEN_Drug_862,0.000964277,3,O[C@H]1C[C@@H]2C(=CC[C@@H]3[C@@]2(C)C(=O)C[C@]2([C@@]3(C)C[C@H]([C@@H]2[C@](C(=O)CCC(O)(C)C)(O)C)O)C)C([C@@H]1O)(C)C,Cucurbitacin IIb,50298-90-3,C30H48O7,520.7
TN1626,863,AUTOGEN_Drug_863,0.00172793,1,COc1cc(O)c2c(c1)oc(cc2=O)C,Eugenin,480-34-2,C11H10O4,206.2
TN5118,864,AUTOGEN_Drug_864,0.000720399,1,CCCCCC(=O)N[C@H]([C@H](C(=O)O[C@H]1C[C@]2(O)[C@@H](OC(=O)c3ccccc3)[C@H]3[C@@](C(=O)[C@@H](C(=C1C)C2(C)C)OC(=O)C)(C)[C@@H](O)C[C@@H]1[C@]3(CO1)OC(=O)C)O)c1ccccc1,Taxol C,153415-45-3,C46H57NO14,847.94
TN1855,865,AUTOGEN_Drug_865,0.00159525,1,COc1cc2c(cc1O)C[C@H]1c3c2c(OC)c(O)cc3CCN1,Laurolitsine,5890-18-6,C18H19NO4,313.34
TN1342,866,AUTOGEN_Drug_866,0.000797415,3,CC(=O)O[C@H]1C[C@@H]2C(=O)O[C@@H](C[C@]2([C@H]2[C@H]1[C@@H]1C[C@@H](C2)OC1=O)C)c1ccoc1,8-Epidiosbulbin E acetate,91095-48-6,C21H24O7,388.4
T8160,867,AUTOGEN_Drug_867,0.00173118,3,CC(=O)Oc1cc(OC(=O)C)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(OC(=O)C)c(c(c1)OC(=O)C)OC(=O)C)c1cc(OC(=O)C)c(c(c1)OC(=O)C)OC(=O)C,EGCG Octaacetate,148707-39-5,C38H34O19,794.67
T8293,868,AUTOGEN_Drug_868,0.00175229,2,C[C@H](CCC[C@@H](CCCC(C)C)C)CCC[C@]1(C)CCc2c(O1)c(C)c(c(c2)O)C,(+)-??-Tocopherol,54-28-4,C28H48O2,416.7
T5800,869,AUTOGEN_Drug_869,0.00105617,2,O=C1C=C2C3(O1)CC(C=C2)N1C3CCCC1,Allosecurinin,884-68-4,C13H15NO2,217.26
T5744,870,AUTOGEN_Drug_870,0.00122139,2,CC(=CCOc1ccc2c(c1)oc(=O)cc2)C,Nsc267697,10387-50-5,C14H14O3,230.26
T5711,871,AUTOGEN_Drug_871,0.00140241,2,OC[C@H]1O[C@@H](Oc2ccc3c(c2)OC[C@@H]2[C@H]3Oc3c2ccc(c3OC)OC)[C@@H]([C@H]([C@@H]1O)O)O,Methylnissolin-3-O-glucoside??,94367-42-7,C23H26O10,462.45
T3755,872,AUTOGEN_Drug_872,0.00303634,1,COc1cc(/C=C/c2ccc(cc2)O)cc(c1)O,Pinostilbene,42438-89-1,C15H14O3,242.27
T5727,873,AUTOGEN_Drug_873,0.0010325,2,OC[C@@]1(O)C[C@@]23C[C@H]1CC[C@H]3[C@]1([C@H](CC2)c2ccoc2CC1)C,CAFESTOL,469-83-0,C20H28O3,316.43
T6S2247,874,AUTOGEN_Drug_874,0.000812412,8,CC(C1=C[C@H]2[C@H]([C@](CC1)(C)O)CC[C@]2(C)O)C,Alismoxide,87701-68-6,C15H26O2,238.37
TN1097,875,AUTOGEN_Drug_875,0.00085108,9,C[C@@H]1CC[C@]2([C@@H]([C@H]1C)C1=CC[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)CC[C@H]([C@]1(C)C(=O)O)O)C,Beta-boswellic acid,631-69-6,C30H48O3,456.7
T13616,876,AUTOGEN_Drug_876,0.00089808,4,CCCCCCCC[C@@H]1O[C@@H]1CCCCCCCC(=O)O,"cis-???€???,???€???0-???€??婨poxystearic acid",24560-98-3,C18H34O3,298.46
T5808,877,AUTOGEN_Drug_877,0.00114962,1,O=c1ccc2c(o1)cc1c(c2OCC(C(O)(C)C)O)cco1,OXYPEUCEDANIN HYDRATE,133164-11-1,C16H16O6,304.29
T8200,878,AUTOGEN_Drug_878,0.000530622,8,O=C1O[C@@H]2C(=C1C)[C@]13[C@]4([C@H]2O)[C@H](OC3=O)C[C@H]([C@@]24[C@H](O1)OC(=O)[C@@H]2O)C(C)(C)C,Ginkgolide K,153355-70-5,C20H22O9,406.4
TN2139,879,AUTOGEN_Drug_879,0.00155898,1,OC[C@H]1O[C@@H](O[C@@H](COC(=O)C)COC(=O)/C=C/c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,Regaloside B,114420-67-6,C20H26O11,442.4
T5S1252,880,AUTOGEN_Drug_880,0.000730464,4,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C(=CC[C@@H]4[C@@H]3CC[C@]3([C@H]4C[C@H]4[C@@H]3[C@H](C)[C@@]3(O4)CC[C@H](CO3)C)C)C2)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,Prosapogenin A,19057-67-1,C39H62O12,722.9
T5702,881,AUTOGEN_Drug_881,0.00125112,1,OC[C@H]1O[C@@]([C@H]([C@@H]1O)OC(=O)/C=C/c1cc(OC)c(c(c1)OC)O)(CO)O[C@H]1O[C@H](COC(=O)c2ccc(cc2)O)[C@H]([C@@H]([C@H]1O)O)O,Tenuifoliside B,139726-36-6,C30H36O17,668.6
TN6762,882,AUTOGEN_Drug_882,0.00109558,2,Cc1ccc(cc1)[C@]1(C)CCCC1(C)C,(+)-Cuparene,16982-00-6,C15H22,202.34
TN1418,883,AUTOGEN_Drug_883,0.00238281,1,COc1cc(O)cc2c1c(=O)c(c(o2)c1ccc(c(c1)O)O)O,Azaleatin,529-51-1,C16H12O7,316.26
TQ0152,884,AUTOGEN_Drug_884,0.000774935,1,CCN(CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@@H](C(C)C)[C@H](C)/C=C/C(=O)NC/C=C\C(=C\[C@H](CC(=O)Cc1nc(C2=O)co1)O)\C)CC,Dalfopristin,112362-50-2,C34H48N4O9S,690.85
T2S2173|T7784,885,AUTOGEN_Drug_885,0.00264376,1,Oc1ccc(cc1)/C=C/C(=O)c1c(O)cc(cc1O)O,Naringenin chalcone,73692-50-9,C15H12O5,272.25
T11590,886,AUTOGEN_Drug_886,0.00137032,7,OC(=O)CC(C(C(=O)O)O)(C(=O)O)O,(-)-Hydroxycitric acid,27750-10-3,C6H8O8,208.12
T3928,887,AUTOGEN_Drug_887,0.00199011,2,OC[C@H]1O[C@@H](Oc2ccc3c(c2)O[C@@H](CC3=O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,Neoliquiritin,5088-75-5,C21H22O9,418.4
T8213,888,AUTOGEN_Drug_888,0.00122915,1,C=C[C@@]1(C)Cc2occ(c2[C@H]2[C@@H]1C(=C)C(=O)O2)C,Isolinderalactone,957-66-4,C15H16O3,244.29
TN7070,889,AUTOGEN_Drug_889,0.00112453,4,O[C@H]1CC[C@]2([C@H](C1)CCC1=C3[C@@](CC[C@H]21)(C)[C@H](CC3)[C@@H](CC[C@@H](C(C)C)C)C)C,Ergostenol,632-32-6,C28H48O,400.68
TN1110,890,AUTOGEN_Drug_890,0.00056369,3,OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@@H]3[C@H]2[C@@](C)(O)C[C@H]3O)C(=O)O)[C@@H]([C@H]([C@@H]1O)O)O,Shanzhiside,29836-27-9,C16H24O11,392.36
TN1982,891,AUTOGEN_Drug_891,0.00223958,1,COc1c(CC=C(C)C)c(O)cc2c1c1oc3c(c1c(=O)o2)ccc(c3)O,Neoglycyrol,23013-84-5,C21H18O6,366.4
TN2330,892,AUTOGEN_Drug_892,0.00186518,1,COc1cc(C=CC(=O)OCCc2ccccc2)ccc1O,Caffeic Acid 3-Methyl Phenethyl Ester,71835-85-3,C18H18O4,298.34
TN1120,893,AUTOGEN_Drug_893,0.00186723,1,CC(=CCc1c(O)ccc2c1oc(=O)cc2)C,Osthenol,484-14-0,C14H14O3,230.26
TN1429,894,AUTOGEN_Drug_894,0.00224077,1,COc1c(C)c(OC)cc(c1C(=O)C)O,Bancroftinone,14964-98-8,C11H14O4,210.2
TN2260,895,AUTOGEN_Drug_895,0.00219057,1,O[C@H]1[C@@H](O[C@H]([C@@H]([C@H]1O)O)C)Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@H](C(=O)c2c(c1)O)O,Taxifolin 7-O-rhamnoside,137592-12-2,C21H22O11,450.4
TN1990,896,AUTOGEN_Drug_896,0.00278018,1,Oc1cc(O)c2c(c1)oc1c(c2=O)cc(c(c1)O)O,Norathyriol,3542-72-1,C13H8O6,260.2
TN1736,897,AUTOGEN_Drug_897,0.00143211,1,O[C@@H]1[C@@H](O)[C@@H](O[C@@H]([C@H]1O)C(=O)O)Oc1c(O)cc(c2c1oc(c1ccc(c(c1)O)O)c(c2=O)O)O,Hibifolin,55366-56-8,C21H18O14,494.4
TN4417,898,AUTOGEN_Drug_898,0.0008629,6,C=C[C@](CC[C@H]1C(=C)C[C@@H]([C@@H]2[C@]1(C)CCCC2(C)C)OC(=O)C)(O)C,Larixyl acetate,4608-49-5,C22H36O3,348.52
T8189,899,AUTOGEN_Drug_899,0.00101275,5,COc1c(OC)ccc2c1CN1CCc3c(C1=C2)cc1c(c3)OCO1,Dihydroberberine,483-15-8,C20H19NO4,337.4
T5S1889,900,AUTOGEN_Drug_900,0.0010163,3,COC[C@@]12CN(CC)C3[C@]4([C@@H]2[C@@H](OC)[C@@H]3[C@@]2([C@@H]3[C@H]4C[C@@]([C@@H]3OC(=O)c3ccc(cc3)OC)([C@H](C2)OC)O)OC(=O)C)[C@H](C[C@H]1O)OC,Yunaconitine,70578-24-4,C35H49NO11,659.77
T5760,901,AUTOGEN_Drug_901,0.00123257,1,COC1=C[C@]23CCN([C@H](C2=CC1=O)Cc1c3c(O)c(cc1)OC)C,SINOACUTINE,4090-18-0,C19H21NO4,327.37
T5758,902,AUTOGEN_Drug_902,0.00122373,4,COc1cc2ccc(=O)oc2c2c1occ2,sphondin,483-66-9,C12H8O4??,216.19
T5763,903,AUTOGEN_Drug_903,0.000768389,2,CCCCC1OC(=O)C2=CCCCC12,Sedanolide,6415-59-4,C12H18O2,194.27
T5S1963,904,AUTOGEN_Drug_904,0.00158079,1,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(C)cc(c3)O)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Orcinol gentiobioside,164991-86-0,C19H28O12,448.42
T5701|T6S1255,905,AUTOGEN_Drug_905,0.000799784,2,C[C@@H]1CC[C@@]2(OC1)O[C@@H]1[C@H]([C@@H]2C)[C@@]2([C@@H](C1)[C@@H]1CC=C3[C@]([C@H]1CC2)(C)[C@@H](C[C@@H](C3)O)O[C@@H]1O[C@H](C)[C@@H]([C@@H]([C@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O[C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O)O)C,OPHIOPOGONIN D,945619-74-9,C44H70O16,855.02
T3S0488,906,AUTOGEN_Drug_906,0.00123853,1,OC[C@H]1O[C@@H](Oc2c(OC)cc(cc2OC)[C@@H]2OC[C@@H]3[C@H]2CO[C@H]3c2cc(OC)c(c(c2)OC)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Syringaresinol-di-O-glucoside,66791-77-3,C34H46O18,742.72
T4037,907,AUTOGEN_Drug_907,0.000941541,10,OCC1=C[C@H]2[C@H]3[C@@](C3(C)C)(O)[C@@H]([C@H]([C@@]2([C@H]2[C@@](C1)(O)C(=O)C(=C2)C)O)C)O,Phorbol,17673-25-5,C20H28O6,364.43
T19713,908,AUTOGEN_Drug_908,0.00103287,4,CCCCCCCc1cc(=O)c2c([nH]1)cccc2,HHQ,40522-46-1,C16H21NO,243.34
T4S0675,909,AUTOGEN_Drug_909,0.000688573,8,OC[C@H]1O[C@@H](OC(=O)[C@@]23CCC(C[C@H]3C3=CC[C@H]4[C@@]([C@@]3(CC2)C)(C)CC[C@@H]2[C@]4(C)C[C@@H]([C@@H]([C@@]2(C)CO)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)O)(C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O[C@@H]1OC[C@]([C@H]1O)(O)CO)O[C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O,Polygalasaponin V,162857-65-0,C58H94O27,1223.36
T4S0758,910,AUTOGEN_Drug_910,0.00162833,1,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(c3)oc(c(c4=O)O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)c3ccc(c(c3)O)O)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Quercetin-3-O-??-D-glucose-7-O-??-D-gentiobiosiden,60778-02-1,C33H40O22,788.66
T5A2461,911,AUTOGEN_Drug_911,0.000831868,2,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)C[C@@H]([C@@H]2c1ccc(=O)oc1)OC(=O)C)C)C,Bufotaline,471-95-4,C26H36O6,444.56
T4S1383,912,AUTOGEN_Drug_912,0.000695332,4,OC[C@H]1O[C@@H](O[C@H]2[C@@H](O[C@@H]([C@H]([C@@H]2O)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)C(=O)O)O[C@H]2CC[C@]3([C@H]([C@@]2(C)CO)CC[C@@]2([C@@H]3CC=C3[C@@]2(C)C[C@H]([C@@]2([C@H]3CC(C)(C)[C@H]([C@@H]2OC(=O)C)OC(=O)/C(=C/C)/C)CO)O)C)C)[C@@H]([C@H]([C@@H]1O)O)O,Escin IA;Aescin IA,123748-68-5,C55H86O24,1131.3
T6S1885,913,AUTOGEN_Drug_913,0.000994442,3,COC[C@@]12CN(C)C3[C@]4([C@@H]2[C@@H](OC)[C@@H]3[C@@]2([C@@H]3[C@H]4C[C@@]([C@@H]3OC(=O)c3ccccc3)([C@H]([C@@H]2O)OC)O)O)[C@H](C[C@H]1O)OC,Benzoylmesaconine,63238-67-5,C31H43NO10,589.7
T8286,914,AUTOGEN_Drug_914,0.000950905,1,COC(=O)C[C@@](C(=O)O[C@@H]1C(=C[C@]23[C@@H]1c1cc4OCOc4cc1CCN3CCC2)OC)(CCC(O)(C)C)O,Harringtonine,26833-85-2,C28H37NO9,531.59
T3S2105,915,AUTOGEN_Drug_915,0.00109501,1,CCCCCCCCCCCCCCCC(=O)NCc1ccccc1,N-Benzylpalmitamide,74058-71-2,C23H39NO,345.57
TWS2045,916,AUTOGEN_Drug_916,0.000774988,3,CC1=CC(=O)[C@H]([C@]2([C@H]1C[C@H]1OC(=O)[C@@H]([C@@]3([C@]41[C@@H]2[C@@H](O)[C@@H]([C@]3(OC4)C)O)O)O)C)O,Bruceine D,21499-66-1,C20H26O9,410.41
T5S0803,917,AUTOGEN_Drug_917,0.00118824,5,COc1cc2CC[n+]3c(c2cc1O)cc1c(c3)c(OC)c(cc1)OC,Columbamine,3621-36-1,C20H20NO4+,338.38
T3S1896,918,AUTOGEN_Drug_918,0.000991607,1,C=C1[C@H]2C[C@H]2[C@]2([C@H]1[C@@H](O)c1c(C2)occ1C)C,Linderene,26146-27-0,C15H18O2,230.3
T3927,919,AUTOGEN_Drug_919,0.00108798,3,COc1c2ccoc2c(c2c1ccc(=O)o2)OCC=C(C)C,Phellopterin,2543-94-4,C17H16O5,300.31
T8167,920,AUTOGEN_Drug_920,0.00084741,7,O[C@H]1C[C@@]2(C)[C@H]([C@]([C@H]1O)(C)C(=O)O)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2CC(C)(C)CC1)C(=O)O)C,medicagenic acid,599-07-5,C30H46O6,502.7
T5753,921,AUTOGEN_Drug_921,0.00260891,1,COc1cc(O)c(c(c1)OC)C(=O)/C=C/c1ccc(cc1)O,Flavokawain C,37308-75-1,C17H16O5,300.31
T3912,922,AUTOGEN_Drug_922,0.000714052,5,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O[C@@H]([C@@H]2O)C)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]2([C@@H]3C=CC3=C4CC(C)(C)CC[C@@]4([C@H](C[C@@]23C)O)CO)C)C)[C@@H]([C@H]([C@@H]1O)O)O,Saikosaponin B1,58558-08-0,C42H68O13,780.98
TN1858,923,AUTOGEN_Drug_923,0.00092884,4,CCCc1cc(=O)c2c(n1C)cccc2,Leptomerine,22048-97-1,C13H15NO,201.26
TN6763,924,AUTOGEN_Drug_924,0.000764749,6,CC(=O)O[C@H]1CC[C@@]2([C@@H](C1=C)C[C@@H]1C[C@@H](C(=C([C@H]([C@@H]2OC(=O)C)OC(=O)C)C1(C)C)C)OC(=O)C)C,TAXUSIN,19605-80-2,C28H40O8,504.61
T9675,925,AUTOGEN_Drug_925,0.00138721,2,C/C(=C\CC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)O)C)/CC/C=C(/CCC=C(C)C)\C,?????€-Tocotrienol,58864-81-6,C29H44O2,424.66
T6102,926,AUTOGEN_Drug_926,0.00142519,1,OC[C@H]1O[C@@H](OCCc2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1OC(=O)/C=C/c1ccc(c(c1)O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)OC(=O)C,2'-acetylacteoside,94492-24-7,C31H38O16,666.62
T8166,927,AUTOGEN_Drug_927,0.000744699,5,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C(=CC[C@@H]4[C@@H]3CC[C@]3([C@H]4C[C@H]4[C@]3(O)[C@H](C)[C@]3(O4)CC[C@H](CO3)C)C)C2)C)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,Pennogenin 3-O-beta-chacotrioside,55916-52-4,C45H72O17,885
T3150,928,AUTOGEN_Drug_928,0.00115849,6,O=C(O[C@@H]1C[C@@H]2[C@@]3(C)CC[C@@H](CC3=CC[C@]2([C@@]2([C@@]1(C)[C@@](O)(CC2)C(=O)C)O)O)O)/C=C(/C(C)C)\C,Caudatin,38395-02-7,C28H42O7,490.63
T8183,929,AUTOGEN_Drug_929,0.000757569,10,OC[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]2[C@@H]3C[C@@H](O)[C@]3([C@]2(O)CC[C@@H]3C2=CC(=O)OC2)C)C)[C@@H]([C@H]([C@@H]1O)O)O,Deslanoside,17598-65-1,C47H74O19,943.1
TN2601,930,AUTOGEN_Drug_930,0.0014325,1,COc1c(O)c2c(cc1C(C)C)CC[C@@H]1[C@@]2(CCCC1(C)C)C(=O)O,12-O-Methylcarnosic acid,62201-71-2,C21H30O4,346.46
T3890,931,AUTOGEN_Drug_931,0.000536742,7,OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@@H]3[C@H]2[C@@H](C)CC3=O)C(=O)OC)[C@@H]([C@H]([C@@H]1O)O)O,Verbenalin,548-37-8,C17H24O10,388.37
